tanggal,Sentiment_Score
2015-03-10,0.3333333333333333
2015-03-11,-1.0
2015-03-12,0.0
2015-03-13,1.0
2015-03-17,1.0
2015-03-18,-1.0
2015-03-19,1.0
2015-03-20,-1.0
2015-03-23,1.0
2015-03-24,0.3333333333333333
2015-03-25,0.0
2015-03-26,-1.0
2015-03-27,-0.3333333333333333
2015-03-30,1.0
2015-03-31,1.0
2015-04-01,-1.0
2015-04-02,-1.0
2015-04-06,0.0
2015-04-07,1.0
2015-04-08,-1.0
2015-04-09,-1.0
2015-04-10,0.0
2015-04-13,-0.3333333333333333
2015-04-14,-1.0
2015-04-17,-1.0
2015-04-20,-1.0
2015-04-21,1.0
2015-04-22,-0.5
2015-04-23,-1.0
2015-04-24,-0.5
2015-04-29,-1.0
2015-04-30,-1.0
2015-05-04,0.0
2015-05-05,1.0
2015-05-06,-1.0
2015-05-11,0.5
2015-05-12,0.3333333333333333
2015-05-13,1.0
2015-05-15,-0.5
2015-05-18,0.0
2015-05-21,1.0
2015-05-22,-1.0
2015-05-25,-1.0
2015-05-26,-1.0
2015-05-27,-1.0
2015-05-29,-1.0
2015-06-01,-1.0
2015-06-03,-1.0
2015-06-05,0.0
2015-06-08,-1.0
2015-06-09,-1.0
2015-06-10,0.3333333333333333
2015-06-12,1.0
2015-06-15,-1.0
2015-06-17,1.0
2015-06-18,0.3333333333333333
2015-06-19,0.3333333333333333
2015-06-22,1.0
2015-06-24,1.0
2015-06-25,-1.0
2015-06-26,0.3333333333333333
2015-06-29,-1.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,1.0
2015-07-03,1.0
2015-07-07,-0.3333333333333333
2015-07-08,-1.0
2015-07-09,-1.0
2015-07-10,1.0
2015-07-13,1.0
2015-07-14,1.0
2015-07-15,-1.0
2015-07-23,0.0
2015-07-27,-1.0
2015-07-28,-1.0
2015-07-29,1.0
2015-07-30,-1.0
2015-07-31,1.0
2015-08-03,1.0
2015-08-04,-1.0
2015-08-07,-1.0
2015-08-10,-1.0
2015-08-11,-1.0
2015-08-12,-1.0
2015-08-13,0.3333333333333333
2015-08-14,1.0
2015-08-19,-1.0
2015-08-20,-1.0
2015-08-21,-1.0
2015-08-24,-1.0
2015-08-25,1.0
2015-08-26,0.0
2015-08-27,1.0
2015-09-02,-1.0
2015-09-03,1.0
2015-09-04,0.0
2015-09-07,-1.0
2015-09-08,-1.0
2015-09-09,1.0
2015-09-10,-1.0
2015-09-11,1.0
2015-09-15,-1.0
2015-09-16,-1.0
2015-09-17,1.0
2015-09-18,1.0
2015-09-21,-1.0
2015-09-22,-1.0
2015-09-23,-1.0
2015-09-29,1.0
2015-09-30,1.0
2015-10-01,1.0
2015-10-02,-1.0
2015-10-05,1.0
2015-10-06,1.0
2015-10-07,1.0
2015-10-08,1.0
2015-10-13,-1.0
2015-10-15,1.0
2015-10-16,0.0
2015-10-19,1.0
2015-10-20,1.0
2015-10-21,1.0
2015-10-22,-1.0
2015-10-23,1.0
2015-10-28,-1.0
2015-10-29,-1.0
2015-10-30,-1.0
2015-11-03,1.0
2015-11-04,1.0
2015-11-05,-1.0
2015-11-06,0.0
2015-11-09,-1.0
2015-11-10,-1.0
2015-11-12,1.0
2015-11-13,0.0
2015-11-16,-1.0
2015-11-18,0.0
2015-11-19,1.0
2015-11-20,1.0
2015-11-23,1.0
2015-11-26,1.0
2015-11-27,-1.0
2015-11-30,-1.0
2015-12-01,1.0
2015-12-02,0.0
2015-12-03,-1.0
2015-12-04,-1.0
2015-12-07,1.0
2015-12-11,-1.0
2015-12-14,-1.0
2015-12-16,1.0
2015-12-17,1.0
2015-12-18,-1.0
2015-12-21,0.0
2015-12-28,1.0
2015-12-29,1.0
2015-12-30,1.0
2016-01-04,-0.6
2016-01-05,1.0
2016-01-06,1.0
2016-01-08,0.0
2016-01-11,-1.0
2016-01-12,1.0
2016-01-13,1.0
2016-01-14,-1.0
2016-01-15,1.0
2016-01-20,-1.0
2016-01-21,0.0
2016-01-22,1.0
2016-01-25,1.0
2016-01-26,-1.0
2016-01-27,1.0
2016-01-28,0.0
2016-02-04,1.0
2016-02-05,1.0
2016-02-09,-1.0
2016-02-10,-1.0
2016-02-11,1.0
2016-02-12,-1.0
2016-02-15,1.0
2016-02-16,0.5
2016-02-17,1.0
2016-02-18,1.0
2016-02-19,1.0
2016-02-22,-0.3333333333333333
2016-02-23,-0.3333333333333333
2016-02-24,-0.5
2016-02-25,1.0
2016-02-26,0.0
2016-03-01,1.0
2016-03-02,1.0
2016-03-03,1.0
2016-03-04,-1.0
2016-03-07,1.0
2016-03-08,-1.0
2016-03-10,-1.0
2016-03-11,-1.0
2016-03-14,1.0
2016-03-15,-1.0
2016-03-16,-0.5
2016-03-17,1.0
2016-03-18,1.0
2016-03-21,-0.3333333333333333
2016-03-22,0.0
2016-03-23,-1.0
2016-03-24,-1.0
2016-03-28,0.0
2016-03-29,-0.3333333333333333
2016-03-30,0.0
2016-04-01,-0.3333333333333333
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,0.0
2016-04-11,-1.0
2016-04-12,0.2
2016-04-13,1.0
2016-04-14,0.0
2016-04-18,0.3333333333333333
2016-04-19,1.0
2016-04-20,-0.2
2016-04-21,0.5
2016-04-25,-1.0
2016-04-26,-0.5
2016-04-27,0.5
2016-04-28,1.0
2016-04-29,0.0
2016-05-03,0.3333333333333333
2016-05-04,-0.3333333333333333
2016-05-09,-1.0
2016-05-10,0.0
2016-05-11,1.0
2016-05-13,-0.3333333333333333
2016-05-16,-0.5
2016-05-17,0.0
2016-05-18,0.0
2016-05-20,0.3333333333333333
2016-05-23,1.0
2016-05-24,-0.5
2016-05-25,0.3333333333333333
2016-05-26,1.0
2016-05-27,0.0
2016-05-31,-1.0
2016-06-01,0.3333333333333333
2016-06-02,-0.3333333333333333
2016-06-03,1.0
2016-06-04,-1.0
2016-06-06,1.0
2016-06-09,-1.0
2016-06-10,-0.5
2016-06-13,-1.0
2016-06-14,0.0
2016-06-15,-1.0
2016-06-16,1.0
2016-06-20,0.0
2016-06-21,1.0
2016-06-22,1.0
2016-06-23,-1.0
2016-06-24,-0.3333333333333333
2016-06-27,-1.0
2016-06-29,1.0
2016-06-30,1.0
2016-07-01,1.0
2016-07-12,1.0
2016-07-13,0.0
2016-07-14,1.0
2016-07-15,1.0
2016-07-19,1.0
2016-07-20,1.0
2016-07-21,-1.0
2016-07-22,-0.6
2016-07-25,1.0
2016-07-27,1.0
2016-07-28,1.0
2016-07-29,0.5
2016-08-01,1.0
2016-08-02,1.0
2016-08-04,1.0
2016-08-05,1.0
2016-08-08,1.0
2016-08-09,0.3333333333333333
2016-08-10,0.0
2016-08-12,1.0
2016-08-15,1.0
2016-08-16,0.5
2016-08-18,1.0
2016-08-19,-0.3333333333333333
2016-08-22,1.0
2016-08-24,-1.0
2016-08-25,1.0
2016-08-26,0.0
2016-08-30,-0.3333333333333333
2016-08-31,1.0
2016-09-01,-1.0
2016-09-02,0.6
2016-09-05,0.5
2016-09-06,0.3333333333333333
2016-09-07,1.0
2016-09-08,-1.0
2016-09-09,-1.0
2016-09-13,-0.5
2016-09-14,-1.0
2016-09-15,0.3333333333333333
2016-09-19,1.0
2016-09-20,0.14285714285714285
2016-09-21,0.0
2016-09-22,1.0
2016-09-23,-1.0
2016-09-26,-0.3333333333333333
2016-09-27,0.2
2016-09-28,0.0
2016-09-29,1.0
2016-10-03,1.0
2016-10-04,0.7142857142857143
2016-10-05,0.0
2016-10-10,1.0
2016-10-11,-1.0
2016-10-12,-0.3333333333333333
2016-10-13,0.0
2016-10-14,0.0
2016-10-17,1.0
2016-10-18,1.0
2016-10-19,0.5
2016-10-20,0.5
2016-10-21,0.3333333333333333
2016-10-24,1.0
2016-10-26,0.0
2016-10-27,1.0
2016-10-28,0.0
2016-10-31,1.0
2016-11-01,1.0
2016-11-03,-1.0
2016-11-04,0.0
2016-11-07,0.5
2016-11-09,-1.0
2016-11-10,0.5
2016-11-11,-0.3333333333333333
2016-11-15,0.5
2016-11-16,1.0
2016-11-17,0.2
2016-11-18,-0.3333333333333333
2016-11-21,-0.6
2016-11-22,1.0
2016-11-23,0.0
2016-11-24,1.0
2016-11-25,1.0
2016-11-28,-1.0
2016-11-29,1.0
2016-11-30,1.0
2016-12-01,1.0
2016-12-02,1.0
2016-12-06,0.0
2016-12-07,-0.6
2016-12-08,0.5
2016-12-09,-0.3333333333333333
2016-12-13,-1.0
2016-12-15,-0.3333333333333333
2016-12-16,-1.0
2016-12-19,-0.5
2016-12-21,1.0
2016-12-22,-1.0
2016-12-23,-1.0
2016-12-26,0.0
2016-12-29,1.0
2016-12-30,1.0
2017-01-03,-1.0
2017-01-04,0.0
2017-01-05,1.0
2017-01-06,0.6
2017-01-09,-0.3333333333333333
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-16,0.0
2017-01-17,1.0
2017-01-18,1.0
2017-01-19,1.0
2017-01-20,-0.5
2017-01-23,1.0
2017-01-24,1.0
2017-01-25,1.0
2017-01-26,0.6
2017-01-27,-0.6
2017-01-31,-0.5
2017-02-01,0.6
2017-02-02,0.3333333333333333
2017-02-03,0.0
2017-02-06,1.0
2017-02-07,-0.6
2017-02-08,-1.0
2017-02-09,1.0
2017-02-10,0.0
2017-02-13,1.0
2017-02-14,-0.5
2017-02-16,-0.5
2017-02-17,0.0
2017-02-20,1.0
2017-02-21,0.5
2017-02-22,-0.3333333333333333
2017-02-23,-1.0
2017-02-24,1.0
2017-02-27,0.3333333333333333
2017-02-28,0.5
2017-03-01,-1.0
2017-03-02,0.0
2017-03-03,-1.0
2017-03-06,0.5
2017-03-07,-0.2
2017-03-08,-1.0
2017-03-09,-1.0
2017-03-10,-0.3333333333333333
2017-03-13,0.5
2017-03-14,1.0
2017-03-15,1.0
2017-03-16,1.0
2017-03-17,1.0
2017-03-18,1.0
2017-03-19,1.0
2017-03-20,0.0
2017-03-23,0.3333333333333333
2017-03-24,0.6
2017-03-27,-0.5
2017-03-29,1.0
2017-03-30,0.3333333333333333
2017-03-31,-1.0
2017-04-03,0.6
2017-04-04,1.0
2017-04-05,1.0
2017-04-06,-0.5
2017-04-07,-0.3333333333333333
2017-04-10,0.0
