Date,Close,Open,High,Low,Volume,Change%
23/11/2017,6063.24,6081.42,6090.64,6056.12,"6,67B","-0,11%"
24/11/2017,6067.14,6064.67,6069.85,6035.25,"5,70B","0,06%"
27/11/2017,6064.59,6059.71,6072.49,6035.92,"6,08B","-0,04%"
28/11/2017,6070.72,6055.1,6070.72,6015.91,"6,68B","0,10%"
29/11/2017,6061.37,6066.43,6073.9,6045.34,"6,42B","-0,15%"
30/11/2017,5952.14,6053.03,6058.6,5952.14,"9,50B","-1,80%"
04/12/2017,5998.19,6014.06,6031.92,5994.35,"6,60B","0,77%"
05/12/2017,6000.47,6021.09,6026.41,5979.48,"6,72B","0,04%"
06/12/2017,6035.51,6002.54,6044.34,6001.09,"5,09B","0,58%"
07/12/2017,6006.84,6032.05,6039.3,6006.84,"5,00B","-0,48%"
08/12/2017,6030.96,6017.96,6041.13,6013.75,"5,34B","0,40%"
11/12/2017,6026.63,6043.35,6052.52,6024.04,"5,74B","-0,07%"
12/12/2017,6032.37,6038.43,6042.0,6012.98,"5,46B","0,10%"
13/12/2017,6054.6,6027.44,6054.6,6020.11,"5,59B","0,37%"
14/12/2017,6113.65,6065.31,6117.13,6061.09,"6,72B","0,98%"
15/12/2017,6119.42,6098.84,6119.42,6075.89,"5,64B","0,09%"
18/12/2017,6133.96,6111.68,6133.96,6080.15,"5,14B","0,24%"
19/12/2017,6167.67,6113.09,6176.45,6110.28,"5,66B","0,55%"
20/12/2017,6109.48,6165.6,6167.43,6088.56,"5,91B","-0,94%"
21/12/2017,6183.39,6129.53,6183.39,6126.79,"5,23B","1,21%"
22/12/2017,6221.01,6181.86,6221.01,6167.04,"4,51B","0,61%"
27/12/2017,6277.16,6214.26,6277.16,6214.26,"4,47B","0,90%"
28/12/2017,6314.05,6282.44,6314.05,6259.61,"5,90B","0,59%"
29/12/2017,6355.65,6325.62,6368.32,6321.09,"6,60B","0,66%"
02/01/2018,6339.24,6366.08,6445.91,6326.09,"5,22B","-0,26%"
03/01/2018,6251.48,6341.27,6342.19,6220.69,"4,89B","-1,38%"
04/01/2018,6292.32,6257.72,6292.32,6233.94,"5,79B","0,65%"
05/01/2018,6353.74,6279.46,6353.74,6278.72,"7,42B","0,98%"
08/01/2018,6385.4,6354.36,6385.4,6349.04,"6,67B","0,50%"
09/01/2018,6373.14,6393.87,6402.74,6351.23,"6,69B","-0,19%"
10/01/2018,6371.17,6380.92,6412.03,6355.22,"7,01B","-0,03%"
11/01/2018,6386.34,6375.03,6386.34,6344.04,"11,73B","0,24%"
12/01/2018,6370.06,6391.47,6409.18,6359.83,"8,90B","-0,25%"
15/01/2018,6382.19,6379.07,6390.89,6361.61,"7,35B","0,19%"
16/01/2018,6429.69,6386.22,6429.69,6381.31,"8,20B","0,74%"
17/01/2018,6444.52,6429.77,6452.51,6420.06,"8,69B","0,23%"
18/01/2018,6472.67,6456.9,6483.27,6452.05,"11,17B","0,44%"
19/01/2018,6490.9,6483.83,6490.9,6443.01,"7,02B","0,28%"
22/01/2018,6500.53,6495.38,6529.2,6484.12,"8,78B","0,15%"
23/01/2018,6635.33,6538.01,6635.33,6537.08,"8,53B","2,07%"
24/01/2018,6615.49,6635.76,6641.17,6588.62,"11,60B","-0,30%"
25/01/2018,6615.33,6629.37,6636.59,6581.67,"12,20B","0,00%"
26/01/2018,6660.62,6616.13,6677.37,6615.87,"10,25B","0,68%"
29/01/2018,6680.62,6672.99,6686.35,6634.89,"9,93B","0,30%"
30/01/2018,6575.49,6666.83,6675.76,6546.65,"10,00B","-1,57%"
31/01/2018,6605.63,6547.99,6627.84,6522.66,"11,38B","0,46%"
01/02/2018,6598.46,6625.35,6658.88,6598.46,"11,97B","-0,11%"
02/02/2018,6628.82,6638.16,6655.61,6621.44,"8,81B","0,46%"
05/02/2018,6589.68,6556.68,6612.45,6522.55,"9,75B","-0,59%"
06/02/2018,6478.54,6505.19,6519.29,6426.76,"13,90B","-1,69%"
07/02/2018,6534.87,6525.56,6582.51,6512.07,"11,72B","0,87%"
08/02/2018,6544.63,6543.62,6549.18,6519.09,"10,63B","0,15%"
09/02/2018,6505.52,6491.29,6505.52,6460.64,"9,56B","-0,60%"
12/02/2018,6523.45,6508.05,6531.56,6498.69,"11,88B","0,28%"
13/02/2018,6578.18,6545.0,6595.9,6544.67,"10,29B","0,84%"
14/02/2018,6594.4,6577.11,6599.31,6572.5,"7,71B","0,25%"
15/02/2018,6591.58,6615.9,6624.63,6583.19,"8,54B","-0,04%"
19/02/2018,6689.29,6610.73,6689.29,6607.91,"9,67B","1,48%"
20/02/2018,6662.88,6687.23,6693.47,6625.74,"12,94B","-0,39%"
21/02/2018,6643.4,6649.18,6665.89,6614.23,"17,92B","-0,29%"
22/02/2018,6593.06,6646.35,6648.75,6586.31,"10,71B","-0,76%"
23/02/2018,6619.8,6608.53,6659.26,6608.53,"9,37B","0,41%"
26/02/2018,6554.67,6615.37,6624.02,6554.67,"9,78B","-0,98%"
27/02/2018,6598.93,6573.7,6598.93,6562.84,"10,71B","0,68%"
28/02/2018,6597.22,6595.86,6609.4,6564.48,"9,71B","-0,03%"
01/03/2018,6606.05,6605.31,6630.13,6596.87,"9,24B","0,13%"
02/03/2018,6582.32,6597.71,6597.71,6561.05,"8,23B","-0,36%"
05/03/2018,6550.59,6594.52,6607.16,6543.66,"7,78B","-0,48%"
06/03/2018,6500.11,6577.18,6589.72,6492.95,"7,78B","-0,77%"
07/03/2018,6368.27,6500.96,6516.89,6346.66,"10,86B","-2,03%"
08/03/2018,6443.02,6410.71,6443.06,6371.97,"8,73B","1,17%"
09/03/2018,6433.32,6448.19,6459.03,6382.89,"7,36B","-0,15%"
12/03/2018,6500.69,6459.32,6500.69,6459.32,"7,62B","1,05%"
13/03/2018,6412.85,6497.46,6501.13,6399.39,"8,26B","-1,35%"
14/03/2018,6382.62,6410.89,6412.75,6363.63,"8,62B","-0,47%"
15/03/2018,6321.9,6366.93,6372.09,6316.21,"8,22B","-0,95%"
16/03/2018,6304.95,6323.41,6328.79,6236.24,"8,83B","-0,27%"
