Date,Close(t-10),Open(t-10),High(t-10),Low(t-10),Sentiment_Score(t-10),Close(t-9),Open(t-9),High(t-9),Low(t-9),Sentiment_Score(t-9),Close(t-8),Open(t-8),High(t-8),Low(t-8),Sentiment_Score(t-8),Close(t-7),Open(t-7),High(t-7),Low(t-7),Sentiment_Score(t-7),Close(t-6),Open(t-6),High(t-6),Low(t-6),Sentiment_Score(t-6),Close(t-5),Open(t-5),High(t-5),Low(t-5),Sentiment_Score(t-5),Close(t-4),Open(t-4),High(t-4),Low(t-4),Sentiment_Score(t-4),Close(t-3),Open(t-3),High(t-3),Low(t-3),Sentiment_Score(t-3),Close(t-2),Open(t-2),High(t-2),Low(t-2),Sentiment_Score(t-2),Close(t-1),Open(t-1),High(t-1),Low(t-1),Sentiment_Score(t-1),Close(t),Open(t),High(t),Low(t),Sentiment_Score(t)
2021-05-18,6012.96,6005.8,6019.02,5987.74,1.0,5995.62,6026.53,6033.9,5985.02,1.0,5952.6,5999.66,6004.01,5938.88,-1.0,5963.82,5955.4,5974.68,5932.32,1.0,5975.91,5974.56,5992.93,5971.31,1.0,5970.24,5987.07,6005.09,5950.9,0.0,5928.31,5987.33,5994.33,5922.49,-1.0,5975.79,5942.11,5985.37,5941.93,1.0,5938.35,5965.85,5966.66,5911.38,1.0,5833.86,5950.14,5958.79,5817.71,0.0,5834.39,5836.08,5855.67,5782.78,0.0
2021-05-19,5995.62,6026.53,6033.9,5985.02,1.0,5952.6,5999.66,6004.01,5938.88,-1.0,5963.82,5955.4,5974.68,5932.32,1.0,5975.91,5974.56,5992.93,5971.31,1.0,5970.24,5987.07,6005.09,5950.9,0.0,5928.31,5987.33,5994.33,5922.49,-1.0,5975.79,5942.11,5985.37,5941.93,1.0,5938.35,5965.85,5966.66,5911.38,1.0,5833.86,5950.14,5958.79,5817.71,0.0,5834.39,5836.08,5855.67,5782.78,0.0,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333
2021-05-20,5952.6,5999.66,6004.01,5938.88,-1.0,5963.82,5955.4,5974.68,5932.32,1.0,5975.91,5974.56,5992.93,5971.31,1.0,5970.24,5987.07,6005.09,5950.9,0.0,5928.31,5987.33,5994.33,5922.49,-1.0,5975.79,5942.11,5985.37,5941.93,1.0,5938.35,5965.85,5966.66,5911.38,1.0,5833.86,5950.14,5958.79,5817.71,0.0,5834.39,5836.08,5855.67,5782.78,0.0,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333,5797.6,5759.63,5814.78,5751.34,0.0
2021-05-21,5963.82,5955.4,5974.68,5932.32,1.0,5975.91,5974.56,5992.93,5971.31,1.0,5970.24,5987.07,6005.09,5950.9,0.0,5928.31,5987.33,5994.33,5922.49,-1.0,5975.79,5942.11,5985.37,5941.93,1.0,5938.35,5965.85,5966.66,5911.38,1.0,5833.86,5950.14,5958.79,5817.71,0.0,5834.39,5836.08,5855.67,5782.78,0.0,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333,5797.6,5759.63,5814.78,5751.34,0.0,5773.12,5824.11,5838.23,5742.04,-1.0
2021-05-24,5975.91,5974.56,5992.93,5971.31,1.0,5970.24,5987.07,6005.09,5950.9,0.0,5928.31,5987.33,5994.33,5922.49,-1.0,5975.79,5942.11,5985.37,5941.93,1.0,5938.35,5965.85,5966.66,5911.38,1.0,5833.86,5950.14,5958.79,5817.71,0.0,5834.39,5836.08,5855.67,5782.78,0.0,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333,5797.6,5759.63,5814.78,5751.34,0.0,5773.12,5824.11,5838.23,5742.04,-1.0,5763.63,5793.07,5805.15,5759.34,-1.0
2021-05-25,5970.24,5987.07,6005.09,5950.9,0.0,5928.31,5987.33,5994.33,5922.49,-1.0,5975.79,5942.11,5985.37,5941.93,1.0,5938.35,5965.85,5966.66,5911.38,1.0,5833.86,5950.14,5958.79,5817.71,0.0,5834.39,5836.08,5855.67,5782.78,0.0,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333,5797.6,5759.63,5814.78,5751.34,0.0,5773.12,5824.11,5838.23,5742.04,-1.0,5763.63,5793.07,5805.15,5759.34,-1.0,5815.84,5772.94,5848.55,5769.29,1.0
2021-05-27,5928.31,5987.33,5994.33,5922.49,-1.0,5975.79,5942.11,5985.37,5941.93,1.0,5938.35,5965.85,5966.66,5911.38,1.0,5833.86,5950.14,5958.79,5817.71,0.0,5834.39,5836.08,5855.67,5782.78,0.0,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333,5797.6,5759.63,5814.78,5751.34,0.0,5773.12,5824.11,5838.23,5742.04,-1.0,5763.63,5793.07,5805.15,5759.34,-1.0,5815.84,5772.94,5848.55,5769.29,1.0,5841.83,5850.5,5904.84,5841.83,1.0
2021-05-28,5975.79,5942.11,5985.37,5941.93,1.0,5938.35,5965.85,5966.66,5911.38,1.0,5833.86,5950.14,5958.79,5817.71,0.0,5834.39,5836.08,5855.67,5782.78,0.0,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333,5797.6,5759.63,5814.78,5751.34,0.0,5773.12,5824.11,5838.23,5742.04,-1.0,5763.63,5793.07,5805.15,5759.34,-1.0,5815.84,5772.94,5848.55,5769.29,1.0,5841.83,5850.5,5904.84,5841.83,1.0,5848.62,5875.27,5891.47,5833.34,1.0
2021-05-31,5938.35,5965.85,5966.66,5911.38,1.0,5833.86,5950.14,5958.79,5817.71,0.0,5834.39,5836.08,5855.67,5782.78,0.0,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333,5797.6,5759.63,5814.78,5751.34,0.0,5773.12,5824.11,5838.23,5742.04,-1.0,5763.63,5793.07,5805.15,5759.34,-1.0,5815.84,5772.94,5848.55,5769.29,1.0,5841.83,5850.5,5904.84,5841.83,1.0,5848.62,5875.27,5891.47,5833.34,1.0,5947.46,5869.22,5947.46,5860.54,1.0
2021-06-02,5833.86,5950.14,5958.79,5817.71,0.0,5834.39,5836.08,5855.67,5782.78,0.0,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333,5797.6,5759.63,5814.78,5751.34,0.0,5773.12,5824.11,5838.23,5742.04,-1.0,5763.63,5793.07,5805.15,5759.34,-1.0,5815.84,5772.94,5848.55,5769.29,1.0,5841.83,5850.5,5904.84,5841.83,1.0,5848.62,5875.27,5891.47,5833.34,1.0,5947.46,5869.22,5947.46,5860.54,1.0,6031.58,6002.48,6031.58,5991.51,1.0
